,10th & Monroe St NE,11th & H St NE,12th & Irving St NE,12th & Newton St NE,13th & D St NE,13th & H St NE,15th & East Capitol St NE,15th & F St NE,18th St & Rhode Island Ave NE,1st & M St NE,3rd & H St NE,4th & East Capitol St NE,4th St & Rhode Island Ave NE,6th & H St NE,8th & East Capitol St NE,8th & F St NE,Anacostia Ave & Benning Rd NE / River Terrace ,Benning Rd & East Capitol St NE / Benning Rd Metro,Bladensburg Rd & Benning Rd NE,D St & Maryland Ave NE,Eckington Pl & Q St NE,Gallaudet / 8th St & Florida Ave NE,Hamlin & 7th St NE,John McCormack Dr & Michigan Ave NE,Lincoln Park / 13th & East Capitol St NE ,M St & Delaware Ave NE,Neal St & Trinidad Ave NE,Rhode Island Ave & V St NE
10th & Monroe St NE,37.0,2.0,125.0,18.0,1.0,2.0,0.0,0.0,6.0,36.0,5.0,3.0,14.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,9.0,12.0,0.0,28.0,2.0,2.0
11th & H St NE,0.0,144.0,0.0,5.0,38.0,35.0,9.0,16.0,0.0,141.0,201.0,51.0,14.0,240.0,49.0,63.0,13.0,1.0,28.0,89.0,9.0,50.0,0.0,1.0,57.0,96.0,9.0,2.0
12th & Irving St NE,149.0,2.0,44.0,35.0,0.0,1.0,0.0,0.0,7.0,24.0,0.0,4.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0
12th & Newton St NE,15.0,2.0,32.0,38.0,1.0,0.0,0.0,0.0,25.0,6.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,7.0,0.0,8.0,1.0,2.0
13th & D St NE,2.0,42.0,0.0,1.0,157.0,82.0,20.0,21.0,0.0,54.0,53.0,88.0,3.0,84.0,38.0,55.0,7.0,0.0,23.0,119.0,3.0,15.0,0.0,4.0,36.0,27.0,6.0,0.0
13th & H St NE,1.0,23.0,2.0,1.0,104.0,170.0,40.0,27.0,1.0,148.0,165.0,91.0,10.0,296.0,51.0,75.0,11.0,2.0,35.0,116.0,31.0,84.0,2.0,0.0,183.0,197.0,14.0,5.0
15th & East Capitol St NE,0.0,16.0,0.0,1.0,13.0,46.0,105.0,29.0,1.0,8.0,12.0,43.0,2.0,31.0,35.0,14.0,1.0,2.0,19.0,44.0,1.0,7.0,0.0,0.0,25.0,13.0,0.0,0.0
15th & F St NE,0.0,31.0,0.0,0.0,21.0,16.0,49.0,57.0,0.0,16.0,34.0,20.0,0.0,58.0,9.0,49.0,2.0,0.0,19.0,28.0,2.0,10.0,0.0,0.0,30.0,44.0,0.0,0.0
18th St & Rhode Island Ave NE,30.0,1.0,6.0,28.0,0.0,1.0,0.0,0.0,27.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,7.0,1.0,3.0,0.0,2.0,0.0,8.0
1st & M St NE,41.0,87.0,19.0,7.0,22.0,88.0,13.0,7.0,2.0,247.0,61.0,84.0,102.0,89.0,44.0,12.0,1.0,0.0,12.0,19.0,314.0,90.0,6.0,44.0,20.0,60.0,30.0,32.0
3rd & H St NE,4.0,253.0,1.0,1.0,65.0,167.0,11.0,40.0,0.0,76.0,129.0,114.0,10.0,27.0,25.0,132.0,14.0,0.0,31.0,76.0,14.0,73.0,0.0,1.0,89.0,44.0,9.0,0.0
4th & East Capitol St NE,8.0,62.0,2.0,6.0,80.0,70.0,55.0,45.0,3.0,77.0,120.0,263.0,6.0,58.0,88.0,20.0,1.0,0.0,24.0,27.0,17.0,17.0,0.0,2.0,113.0,33.0,7.0,0.0
4th St & Rhode Island Ave NE,9.0,3.0,5.0,7.0,3.0,13.0,0.0,0.0,16.0,141.0,13.0,3.0,50.0,6.0,2.0,2.0,16.0,1.0,5.0,10.0,31.0,9.0,5.0,8.0,0.0,77.0,0.0,49.0
6th & H St NE,1.0,154.0,1.0,13.0,81.0,204.0,20.0,48.0,0.0,87.0,30.0,84.0,7.0,158.0,44.0,47.0,49.0,1.0,78.0,98.0,22.0,31.0,1.0,1.0,106.0,96.0,15.0,5.0
8th & East Capitol St NE,3.0,28.0,0.0,0.0,36.0,31.0,15.0,2.0,1.0,26.0,20.0,58.0,2.0,38.0,109.0,51.0,0.0,0.0,16.0,12.0,3.0,13.0,1.0,0.0,60.0,19.0,1.0,1.0
8th & F St NE,0.0,58.0,0.0,1.0,29.0,46.0,6.0,26.0,0.0,52.0,131.0,32.0,2.0,38.0,43.0,115.0,1.0,0.0,14.0,43.0,1.0,19.0,1.0,3.0,40.0,21.0,2.0,0.0
Anacostia Ave & Benning Rd NE / River Terrace ,0.0,12.0,9.0,0.0,5.0,14.0,3.0,2.0,1.0,0.0,7.0,1.0,12.0,61.0,0.0,1.0,98.0,60.0,35.0,1.0,0.0,4.0,0.0,0.0,5.0,9.0,0.0,0.0
Benning Rd & East Capitol St NE / Benning Rd Metro,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bladensburg Rd & Benning Rd NE,0.0,30.0,3.0,3.0,27.0,42.0,16.0,25.0,1.0,19.0,57.0,30.0,4.0,83.0,11.0,22.0,25.0,16.0,83.0,57.0,8.0,32.0,0.0,2.0,46.0,56.0,5.0,1.0
D St & Maryland Ave NE,5.0,57.0,2.0,2.0,92.0,71.0,42.0,21.0,0.0,53.0,101.0,30.0,2.0,71.0,18.0,36.0,0.0,1.0,31.0,166.0,2.0,5.0,0.0,2.0,74.0,16.0,0.0,2.0
Eckington Pl & Q St NE,25.0,9.0,0.0,0.0,1.0,27.0,3.0,0.0,1.0,281.0,5.0,8.0,20.0,26.0,1.0,2.0,0.0,0.0,5.0,2.0,67.0,10.0,2.0,8.0,2.0,41.0,1.0,3.0
Gallaudet / 8th St & Florida Ave NE,22.0,36.0,2.0,1.0,20.0,84.0,7.0,8.0,4.0,108.0,54.0,7.0,11.0,32.0,13.0,29.0,10.0,0.0,19.0,17.0,16.0,104.0,5.0,0.0,14.0,217.0,24.0,1.0
Hamlin & 7th St NE,7.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,23.0,0.0,5.0,1.0,1.0
John McCormack Dr & Michigan Ave NE,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,7.0,17.0,45.0,0.0,53.0,2.0,1.0
Lincoln Park / 13th & East Capitol St NE ,0.0,53.0,0.0,0.0,45.0,121.0,26.0,34.0,1.0,20.0,39.0,176.0,0.0,55.0,42.0,32.0,5.0,0.0,24.0,47.0,3.0,22.0,2.0,1.0,239.0,15.0,1.0,0.0
M St & Delaware Ave NE,28.0,127.0,6.0,11.0,56.0,196.0,7.0,9.0,4.0,53.0,39.0,63.0,64.0,142.0,17.0,48.0,26.0,0.0,49.0,22.0,60.0,283.0,8.0,42.0,31.0,115.0,143.0,26.0
Neal St & Trinidad Ave NE,1.0,11.0,0.0,1.0,1.0,14.0,1.0,5.0,2.0,85.0,16.0,4.0,0.0,30.0,4.0,6.0,0.0,0.0,6.0,10.0,0.0,16.0,0.0,0.0,6.0,124.0,41.0,1.0
Rhode Island Ave & V St NE,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,8.0,18.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,32.0
